time_s,event
00.000,exit
18.726,enter
46.664,exit
01:13.544,enter
01:39.263,exit
02:18.357,enter
02:44.758,exit
03:14.776,enter
03:43.499,exit
04:19.894,enter
04:47.833,exit
05:16.215,enter
05:44.672,exit
06:18.794,enter
06:49.477,exit
07:21.712,enter
07:52.925,exit
08:21.033,enter
08:52.280,exit
09:16.634,enter
09:47.541,exit
10:18.923,enter
10:48.145,exit
11:17.459,enter
11:46.965,exit
12:12.857,enter
12:40.759,exit
13:07.261,enter
13:36.772,exit
14:10.804,enter
14:40.594,exit
15:11.942,enter
15:42.474,exit
