time_s,event
0,exit
13.1,enter
34.2,exit
55,enter
1:16,exit
1:42.5,enter
2:03.7,exit
2:27,enter
2:46,exit
3:16.5,enter
3:37.3,exit
4:02,enter
4:24.2,exit
4:52.7,enter
5:14.3,exit
5:38,enter
5:59.3,exit
6:33,enter
6:51.6,exit
7:15.6,enter
7:36.2,exit
8:05.7,enter
8:26.7,exit
8:48.1,enter
9:09.6,exit
10:24.8,enter
10:46.3,exit
11:16.7,enter
11:38.5,exit
12:00.7,enter
12:25.2,exit
12:53.7,enter
13:15.7,exit
13:38.9,enter
14:04,exit
14:32.4,enter
14:53.2,exit
15:15.8,enter
15:38.9,exit 
16:09,enter
16:29.9,exit
16:56,enter
17:19,exit

